#2025/11 Number Pass = 40 (90.9091%)
                               file                  time    pass    total5   exptime
            FUV20251119_155628.fits   2025/11/19T15:56:28       1        27      0.20
            FUV20251119_155630.fits   2025/11/19T15:56:30       1        85      1.02
            FUV20251119_155659.fits   2025/11/19T15:56:59       1       237      5.02
            FUV20251119_155805.fits   2025/11/19T15:58:05       1       155     30.02
            FUV20251119_160122.fits   2025/11/19T16:01:22       1        21      0.13
            FUV20251119_160132.fits   2025/11/19T16:01:32       1       179      1.03
            FUV20251119_160159.fits   2025/11/19T16:01:59       1       206      5.02
            FUV20251119_160306.fits   2025/11/19T16:03:06       1       166     30.02
            FUV20251119_160622.fits   2025/11/19T16:06:22       1        62      0.13
            FUV20251119_160631.fits   2025/11/19T16:06:31       1       129      1.03
            FUV20251119_160659.fits   2025/11/19T16:06:59       1       175      5.02
            FUV20251119_160805.fits   2025/11/19T16:08:05       1       128     30.02
            FUV20251119_161122.fits   2025/11/19T16:11:22       1        12      0.13
            FUV20251119_161132.fits   2025/11/19T16:11:32       1       180      1.03
            FUV20251119_161159.fits   2025/11/19T16:11:59       1       166      5.02
            FUV20251119_161306.fits   2025/11/19T16:13:06       1       129     30.02
            FUV20251119_161622.fits   2025/11/19T16:16:22       1        17      0.13
            FUV20251119_161639.fits   2025/11/19T16:16:39       1        84      1.02
            FUV20251119_161659.fits   2025/11/19T16:16:59       1       134      5.02
            FUV20251119_161805.fits   2025/11/19T16:18:05       1       106     30.02
            FUV20251119_162122.fits   2025/11/19T16:21:22       1        21      0.13
            FUV20251119_162132.fits   2025/11/19T16:21:32       1       150      1.03
            FUV20251119_162159.fits   2025/11/19T16:21:59       1       213      5.02
            FUV20251119_162307.fits   2025/11/19T16:23:07       1       125     30.02
            FUV20251119_162621.fits   2025/11/19T16:26:21       1         9      0.13
            FUV20251119_162631.fits   2025/11/19T16:26:31       1       150      1.03
            FUV20251119_162659.fits   2025/11/19T16:26:59       1       253      5.02
            FUV20251119_162805.fits   2025/11/19T16:28:05       1       160     30.02
            FUV20251119_163122.fits   2025/11/19T16:31:22       1         4      0.13
            FUV20251119_163131.fits   2025/11/19T16:31:31       1       109      1.03
            FUV20251119_163158.fits   2025/11/19T16:31:58       0       273      5.02
            FUV20251119_163306.fits   2025/11/19T16:33:06       1       162     30.02
            FUV20251119_163621.fits   2025/11/19T16:36:21       1         4      0.13
            FUV20251119_163632.fits   2025/11/19T16:36:32       1        95      1.03
            FUV20251119_163659.fits   2025/11/19T16:36:59       0       307      5.02
            FUV20251119_163806.fits   2025/11/19T16:38:06       1       142     30.02
            FUV20251119_164122.fits   2025/11/19T16:41:22       1        23      0.13
            FUV20251119_164132.fits   2025/11/19T16:41:32       1       111      1.03
            FUV20251119_164159.fits   2025/11/19T16:41:59       0       347      5.02
            FUV20251119_164306.fits   2025/11/19T16:43:06       1       175     30.02
            FUV20251119_164622.fits   2025/11/19T16:46:22       1        20      0.13
            FUV20251119_164631.fits   2025/11/19T16:46:31       1       121      1.03
            FUV20251119_164659.fits   2025/11/19T16:46:59       0       384      5.02
            FUV20251119_164807.fits   2025/11/19T16:48:07       1       183     30.02
