#2024/07 Number Pass = 152 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20240703_140745.fits   2024/07/03T14:07:45       1        16      0.08
            NUV20240703_140803.fits   2024/07/03T14:08:03       1        76      1.02
            NUV20240703_140811.fits   2024/07/03T14:08:11       1        82      5.02
            NUV20240703_140908.fits   2024/07/03T14:09:08       1        77     30.02
            NUV20240703_141242.fits   2024/07/03T14:12:42       1        47      0.05
            NUV20240703_141303.fits   2024/07/03T14:13:03       1       100      1.02
            NUV20240703_141311.fits   2024/07/03T14:13:11       1       117      5.02
            NUV20240703_141401.fits   2024/07/03T14:14:01       1       104     30.02
            NUV20240703_141743.fits   2024/07/03T14:17:43       1        15      0.05
            NUV20240703_141803.fits   2024/07/03T14:18:03       1        55      1.02
            NUV20240703_141811.fits   2024/07/03T14:18:11       1        92      5.02
            NUV20240703_141909.fits   2024/07/03T14:19:09       1       103     30.02
            NUV20240703_142242.fits   2024/07/03T14:22:42       1        10      0.05
            NUV20240703_142303.fits   2024/07/03T14:23:03       1        53      1.02
            NUV20240703_142312.fits   2024/07/03T14:23:12       1       120      5.02
            NUV20240703_142409.fits   2024/07/03T14:24:09       1       100     30.02
            NUV20240703_142743.fits   2024/07/03T14:27:43       1         5      0.05
            NUV20240703_142803.fits   2024/07/03T14:28:03       1        40      1.02
            NUV20240703_142812.fits   2024/07/03T14:28:12       1       126      5.02
            NUV20240703_142909.fits   2024/07/03T14:29:09       1       115     30.02
            NUV20240703_143242.fits   2024/07/03T14:32:42       1        10      0.05
            NUV20240703_143303.fits   2024/07/03T14:33:03       1        33      1.02
            NUV20240703_143311.fits   2024/07/03T14:33:11       1       140      5.02
            NUV20240703_143408.fits   2024/07/03T14:34:08       1       126     30.02
            NUV20240703_143742.fits   2024/07/03T14:37:42       1        27      0.05
            NUV20240703_143803.fits   2024/07/03T14:38:03       1        63      1.02
            NUV20240703_143811.fits   2024/07/03T14:38:11       1       118      5.02
            NUV20240703_143901.fits   2024/07/03T14:39:01       1        98     30.02
            NUV20240703_144242.fits   2024/07/03T14:42:42       1        25      0.05
            NUV20240703_144303.fits   2024/07/03T14:43:03       1        89      1.02
            NUV20240703_144311.fits   2024/07/03T14:43:11       1       141      5.02
            NUV20240703_144401.fits   2024/07/03T14:44:01       1       106     30.02
            NUV20240703_144743.fits   2024/07/03T14:47:43       1        25      0.05
            NUV20240703_144803.fits   2024/07/03T14:48:03       1       104      1.02
            NUV20240703_144812.fits   2024/07/03T14:48:12       1       155      5.02
            NUV20240703_144908.fits   2024/07/03T14:49:08       1        75     30.02
            NUV20240703_145242.fits   2024/07/03T14:52:42       1        13      0.05
            NUV20240703_145303.fits   2024/07/03T14:53:03       1       117      1.02
            NUV20240703_145310.fits   2024/07/03T14:53:10       1       124      5.02
            NUV20240703_145401.fits   2024/07/03T14:54:01       1        89     30.02
            NUV20240703_145743.fits   2024/07/03T14:57:43       1        38      0.05
            NUV20240703_145803.fits   2024/07/03T14:58:03       1        99      1.02
            NUV20240703_145811.fits   2024/07/03T14:58:11       1       115      5.02
            NUV20240703_145908.fits   2024/07/03T14:59:08       1        80     30.02
            NUV20240703_150242.fits   2024/07/03T15:02:42       1        71      0.05
            NUV20240703_150303.fits   2024/07/03T15:03:03       1        86      1.02
            NUV20240703_150311.fits   2024/07/03T15:03:11       1       137      5.02
            NUV20240703_150401.fits   2024/07/03T15:04:01       1        84     30.02
            NUV20240703_150743.fits   2024/07/03T15:07:43       1        10      0.05
            NUV20240703_150803.fits   2024/07/03T15:08:03       1        58      1.02
            NUV20240703_150811.fits   2024/07/03T15:08:11       1       140      5.02
            NUV20240703_150909.fits   2024/07/03T15:09:09       1        82     30.02
            NUV20240703_151242.fits   2024/07/03T15:12:42       1         5      0.05
            NUV20240703_151303.fits   2024/07/03T15:13:03       1        74      1.02
            NUV20240703_151312.fits   2024/07/03T15:13:12       1       107      5.02
            NUV20240703_151409.fits   2024/07/03T15:14:09       1       124     30.02
            NUV20240703_151742.fits   2024/07/03T15:17:42       1         8      0.05
            NUV20240703_151803.fits   2024/07/03T15:18:03       1        40      1.02
            NUV20240703_151811.fits   2024/07/03T15:18:11       1       104      5.02
            NUV20240703_151900.fits   2024/07/03T15:19:00       1       113     30.02
            NUV20240703_152243.fits   2024/07/03T15:22:43       1         4      0.05
            NUV20240703_152303.fits   2024/07/03T15:23:03       1        49      1.02
            NUV20240703_152311.fits   2024/07/03T15:23:11       1        96      5.02
            NUV20240703_152408.fits   2024/07/03T15:24:08       1        97     30.02
            NUV20240703_152742.fits   2024/07/03T15:27:42       1         6      0.05
            NUV20240703_152803.fits   2024/07/03T15:28:03       1        71      1.02
            NUV20240703_152811.fits   2024/07/03T15:28:11       1        93      5.02
            NUV20240703_152909.fits   2024/07/03T15:29:09       1       109     30.02
            NUV20240703_153242.fits   2024/07/03T15:32:42       1        17      0.05
            NUV20240703_153303.fits   2024/07/03T15:33:03       1        65      1.02
            NUV20240703_153310.fits   2024/07/03T15:33:10       1       102      5.02
            NUV20240703_153400.fits   2024/07/03T15:34:00       1        53     30.02
            NUV20240703_153743.fits   2024/07/03T15:37:43       1        31      0.05
            NUV20240703_153803.fits   2024/07/03T15:38:03       1        71      1.02
            NUV20240703_153811.fits   2024/07/03T15:38:11       1        80      5.02
            NUV20240703_153908.fits   2024/07/03T15:39:08       1        71     30.02
            NUV20240731_234359.fits   2024/07/31T23:43:59       1        16      0.10
            NUV20240731_234403.fits   2024/07/31T23:44:03       1        51      1.02
            NUV20240731_234412.fits   2024/07/31T23:44:12       1        91      5.02
            NUV20240731_234501.fits   2024/07/31T23:45:01       1       117     30.02
            NUV20240731_234854.fits   2024/07/31T23:48:54       1         8      0.05
            NUV20240731_234904.fits   2024/07/31T23:49:04       1        40      1.02
            NUV20240731_234912.fits   2024/07/31T23:49:12       1        94      5.02
            NUV20240731_235001.fits   2024/07/31T23:50:01       1       113     30.02
            NUV20240731_235354.fits   2024/07/31T23:53:54       1        10      0.05
            NUV20240731_235404.fits   2024/07/31T23:54:04       1        50      1.02
            NUV20240731_235411.fits   2024/07/31T23:54:11       1        76      5.02
            NUV20240731_235502.fits   2024/07/31T23:55:02       1       113     30.02
            NUV20240731_235853.fits   2024/07/31T23:58:53       1         6      0.05
            NUV20240731_235903.fits   2024/07/31T23:59:03       1        60      1.02
            NUV20240731_235912.fits   2024/07/31T23:59:12       1       104      5.02
            NUV20240801_000001.fits   2024/08/01T00:00:01       1        73     30.02
            NUV20240801_000353.fits   2024/08/01T00:03:53       1         7      0.05
            NUV20240801_000404.fits   2024/08/01T00:04:04       1        63      1.02
            NUV20240801_000412.fits   2024/08/01T00:04:12       1        79      5.02
            NUV20240801_000502.fits   2024/08/01T00:05:02       1        71     30.02
            NUV20240801_000853.fits   2024/08/01T00:08:53       1        20      0.05
            NUV20240801_000904.fits   2024/08/01T00:09:04       1        81      1.02
            NUV20240801_000912.fits   2024/08/01T00:09:12       1        81      5.02
            NUV20240801_001001.fits   2024/08/01T00:10:01       1        57     30.02
            NUV20240801_001353.fits   2024/08/01T00:13:53       1        18      0.05
            NUV20240801_001404.fits   2024/08/01T00:14:04       1        51      1.02
            NUV20240801_001412.fits   2024/08/01T00:14:12       1       132      5.02
            NUV20240801_001501.fits   2024/08/01T00:15:01       1        96     30.02
            NUV20240801_001853.fits   2024/08/01T00:18:53       1         8      0.05
            NUV20240801_001904.fits   2024/08/01T00:19:04       1        32      1.02
            NUV20240801_001912.fits   2024/08/01T00:19:12       1       125      5.02
            NUV20240801_002002.fits   2024/08/01T00:20:02       1        89     30.02
            NUV20240801_002353.fits   2024/08/01T00:23:53       1        11      0.05
            NUV20240801_002404.fits   2024/08/01T00:24:04       1        72      1.02
            NUV20240801_002412.fits   2024/08/01T00:24:12       1       117      5.02
            NUV20240801_002502.fits   2024/08/01T00:25:02       1        87     30.02
            NUV20240801_002853.fits   2024/08/01T00:28:53       1        11      0.05
            NUV20240801_002904.fits   2024/08/01T00:29:04       1        93      1.02
            NUV20240801_002911.fits   2024/08/01T00:29:11       1       113      5.02
            NUV20240801_003008.fits   2024/08/01T00:30:08       1        92     30.02
            NUV20240801_003354.fits   2024/08/01T00:33:54       1        49      0.05
            NUV20240801_003403.fits   2024/08/01T00:34:03       1        43      1.02
            NUV20240801_003412.fits   2024/08/01T00:34:12       1       117      5.02
            NUV20240801_003501.fits   2024/08/01T00:35:01       1       118     30.02
            NUV20240801_003853.fits   2024/08/01T00:38:53       1         7      0.05
            NUV20240801_003904.fits   2024/08/01T00:39:04       1        47      1.02
            NUV20240801_003912.fits   2024/08/01T00:39:12       1       120      5.02
            NUV20240801_004008.fits   2024/08/01T00:40:08       1        95     30.02
            NUV20240801_004354.fits   2024/08/01T00:43:54       1        20      0.05
            NUV20240801_004404.fits   2024/08/01T00:44:04       1        60      1.02
            NUV20240801_004412.fits   2024/08/01T00:44:12       1       107      5.02
            NUV20240801_004502.fits   2024/08/01T00:45:02       1       119     30.02
            NUV20240801_004854.fits   2024/08/01T00:48:54       1        10      0.05
            NUV20240801_004903.fits   2024/08/01T00:49:03       1        68      1.02
            NUV20240801_004912.fits   2024/08/01T00:49:12       1       116      5.02
            NUV20240801_005001.fits   2024/08/01T00:50:01       1       113     30.02
            NUV20240801_005353.fits   2024/08/01T00:53:53       1         7      0.05
            NUV20240801_005403.fits   2024/08/01T00:54:03       1        71      1.02
            NUV20240801_005412.fits   2024/08/01T00:54:12       1       110      5.02
            NUV20240801_005502.fits   2024/08/01T00:55:02       1        94     30.02
            NUV20240801_005853.fits   2024/08/01T00:58:53       1        24      0.05
            NUV20240801_005903.fits   2024/08/01T00:59:03       1        82      1.02
            NUV20240801_005912.fits   2024/08/01T00:59:12       1        95      5.02
            NUV20240801_010000.fits   2024/08/01T01:00:00       1        69     30.02
            NUV20240801_010353.fits   2024/08/01T01:03:53       1         7      0.05
            NUV20240801_010403.fits   2024/08/01T01:04:03       1       111      1.02
            NUV20240801_010412.fits   2024/08/01T01:04:12       1        60      5.02
            NUV20240801_010502.fits   2024/08/01T01:05:02       1        89     30.02
            NUV20240801_010853.fits   2024/08/01T01:08:53       1        30      0.05
            NUV20240801_010904.fits   2024/08/01T01:09:04       1        83      1.02
            NUV20240801_010912.fits   2024/08/01T01:09:12       1       103      5.02
            NUV20240801_011002.fits   2024/08/01T01:10:02       1        68     30.02
            NUV20240801_011354.fits   2024/08/01T01:13:54       1        27      0.05
            NUV20240801_011404.fits   2024/08/01T01:14:04       1        53      1.02
            NUV20240801_011412.fits   2024/08/01T01:14:12       1       104      5.02
            NUV20240801_011501.fits   2024/08/01T01:15:01       1       111     30.02
